,date,start_lat,start_lng,end_lat,end_lng,avgTemp,bike_rides_weekly,month,value
0,2022-01-02,40.739072465500215,-73.97670319460532,40.738177657158,-73.9772540250614,11.459110298598416,957.6849482023157,1.0,1.0
1,2022-01-09,40.74013137455371,-73.977277489647,40.74007740434364,-73.97752948464507,1.2049067886035878,882.5585648962364,1.0,1.0
2,2022-01-16,40.73999034111859,-73.9770400473885,40.739620920754895,-73.977346265906,-0.33864598025387876,992.2092148566055,1.0,1.0
3,2022-01-23,40.740137546938314,-73.97733713172174,40.74002041336488,-73.97737225122434,0.39833432480666264,1003.829268292683,1.0,1.0
4,2022-01-30,40.73970790138304,-73.97812837282878,40.7391810074564,-73.97878377876442,-0.8374978279756734,1054.3278887923545,1.0,1.0
5,2022-02-06,40.7397198344726,-73.9767772174131,40.739776267337376,-73.97687636098667,0.12180204514759797,779.2014277445495,1.8907968358093767,1.0
6,2022-02-13,40.74039948649589,-73.97722277373286,40.74028325699902,-73.97739789196388,6.2076291860723,1429.5080949212686,2.0,1.0
7,2022-02-20,40.740140876824746,-73.97702643721112,40.740219572140326,-73.97721924247888,2.9292229943145927,1216.3993682880607,2.0,1.0
8,2022-02-27,40.73929309338283,-73.97705606444262,40.73886501312288,-73.97712250451333,4.773056929123874,1188.873716241917,2.0,1.0
9,2022-03-06,40.73978972657863,-73.97672200114098,40.73968657504234,-73.97690902625278,4.250165425971877,1409.0570719602977,2.8846153846153846,1.0
10,2022-03-13,40.73953285324203,-73.97673819923344,40.73962432430938,-73.9767883331442,7.7615384615384615,1462.311452991453,3.0,1.0
11,2022-03-20,40.73959022951357,-73.97649122889695,40.73931612135499,-73.97685223856875,11.790442872520375,1918.8103952022143,3.0,1.0
12,2022-03-27,40.739868294677066,-73.97668028103516,40.73951455936693,-73.97690705225064,8.927750203050266,1648.081490840177,3.0,1.0
13,2022-04-03,40.73986489738508,-73.97694679653515,40.73974179960197,-73.97692514345863,5.971622418879056,1540.9451327433628,3.4302851524090463,1.0
14,2022-04-10,40.73977029521129,-73.97655902554406,40.73979337499686,-73.97649277923908,9.942661326212729,1702.842634623943,4.0,1.0
15,2022-04-17,40.74018075544425,-73.97660782244711,40.73966162775471,-73.97680707895215,13.804544857480625,2233.7906213056613,4.0,1.0
16,2022-04-24,40.739849771359616,-73.97629023483647,40.73943315948225,-73.97672921195489,11.339274903203098,2109.7398803238298,4.0,1.0
17,2022-05-01,40.74085239562368,-73.97604589064095,40.74048864710032,-73.97623927686368,11.36131236730361,2183.3792462845013,4.162553078556264,1.0
18,2022-05-08,40.74116794772873,-73.97608618225088,40.74069689605704,-73.97615635505896,13.224057527018976,2015.317079397498,5.0,1.0
19,2022-05-15,40.74100949433754,-73.97609502711558,40.74093376687541,-73.97614727806268,16.417774663677132,2574.4395739910315,5.0,1.0
20,2022-05-22,40.740832961471014,-73.97554848755624,40.74035357286827,-73.97582366005673,19.838924364196853,2655.7258614995044,5.0,1.0
21,2022-05-29,40.740292653482406,-73.97559202531146,40.74033622940737,-73.97567582472001,18.773960504662643,2627.5199122325835,5.0,1.0
22,2022-06-05,40.73954217919432,-73.97534752915819,40.73940246378553,-73.97539648112416,21.582581447143525,2798.08768840317,5.728699435437924,1.0
23,2022-06-12,40.74044021904314,-73.97541335848018,40.74031144958735,-73.97548618951012,22.3757967483717,2894.1954457316165,6.0,1.0
24,2022-06-19,40.74031634460948,-73.97542578001644,40.74026085483134,-73.97516366528541,22.393860158822392,2969.3260701142744,6.0,1.0
25,2022-06-26,40.74025330332364,-73.9755419966206,40.73996541539467,-73.97567582930826,22.27419744389655,2865.01740968099,6.0,1.0
26,2022-07-03,40.74103317677319,-73.97479039410086,40.740943156926825,-73.97480551300387,25.482252115426338,2705.821110870037,6.387990887394229,1.0
27,2022-07-10,40.74061783488854,-73.97429541024788,40.74049917544331,-73.97432014997656,24.715545721195905,2812.5534400247,7.0,1.0
28,2022-07-17,40.74129381457458,-73.97468036905097,40.74110907809508,-73.9746133932994,25.97514154367288,2958.97599806436,7.0,1.0
29,2022-07-24,40.74124060733132,-73.97419104999662,40.74132859541322,-73.97425424512272,29.800196809612594,2794.0160555210277,7.0,1.0
30,2022-07-31,40.74158976270975,-73.97431842436208,40.74135538540094,-73.97440092588062,26.917848070932184,2999.6641744548288,7.0,1.0
31,2022-08-07,40.74140816691684,-73.97421073985018,40.74123255982533,-73.97419615014107,27.898416112631992,2954.0001955416506,8.0,1.0
32,2022-08-14,40.741530400868456,-73.97427006174883,40.74146936365853,-73.97418302121169,26.69437313503529,3038.4844882300004,8.0,1.0
33,2022-08-21,40.74199546259419,-73.97383488213826,40.74162201256523,-73.97407053158952,25.040869003093686,3103.656508288313,8.0,1.0
34,2022-08-28,40.74135251209241,-73.97348149381601,40.74102579629818,-73.97368802277956,26.561898932523746,2953.265106257957,8.0,1.0
35,2022-09-04,40.74155695929409,-73.97460983625967,40.74118081876528,-73.97464131872262,24.888423812760998,2955.7598329610564,8.566912693017384,1.0
36,2022-09-11,40.7415311227195,-73.97451642096954,40.741264385859104,-73.97478492722179,22.74477644140014,2944.6005609190443,9.0,1.0
37,2022-09-18,40.741011735490744,-73.975411524401,40.740898090569274,-73.97536608714029,22.18337150911814,3255.752356620562,9.0,1.0
38,2022-09-25,40.740778951687545,-73.97493285178992,40.74053420370421,-73.97520366650103,20.306423028785982,2911.955594493116,9.0,1.0
39,2022-10-02,40.7418132969018,-73.97472556359088,40.74142187209348,-73.97469329178338,17.05443236579626,2764.617169113527,9.157794463745377,1.0
40,2022-10-09,40.74059342420897,-73.97416206576892,40.740332535599855,-73.97437634555467,15.156263485213861,2477.832846807971,10.0,1.0
41,2022-10-16,40.7411992849193,-73.97495879434754,40.741067680826994,-73.97513045650834,16.711084030942036,2755.9124721839567,10.0,1.0
42,2022-10-23,40.74056772020546,-73.97511384189099,40.74047419551169,-73.9750972674839,13.12562762694536,2566.392139043508,10.0,1.0
43,2022-10-30,40.740945029865486,-73.97496368138577,40.74087649145926,-73.97492161855824,14.464214470711411,2647.066567476718,10.0,1.0
44,2022-11-06,40.74117560250081,-73.97489671068749,40.74104520041118,-73.97492734819579,17.018714931227965,2895.718109141467,10.87457172650082,1.0
45,2022-11-13,40.74149398616431,-73.97460042181618,40.74151836886736,-73.97472202641698,15.169256228186303,2491.655433866891,11.0,1.0
46,2022-11-20,40.74186162678444,-73.97407202650432,40.74183952145146,-73.97410660442236,5.095003298153034,1772.1264841688655,11.0,1.0
47,2022-11-27,40.74369159214768,-73.97278105120044,40.743352985417836,-73.97275475185211,7.571905099868194,1509.095508465984,11.0,1.0
48,2022-12-04,40.741617054557075,-73.97401626664818,40.74159511469427,-73.97395033648908,7.246639011175076,1732.3704707077547,11.559600406366407,1.0
49,2022-12-11,40.74123715994322,-73.9742558350215,40.74129078903702,-73.97427178719911,7.809513367630936,1810.2584970903265,12.0,1.0
50,2022-12-18,40.74073499515738,-73.97453258791221,40.740690489729445,-73.97489609914278,2.588332289709873,1452.9340429972865,12.0,1.0
51,2022-12-25,40.74110713764031,-73.97343769581119,40.74138912278533,-73.97348563419962,1.5454491725768322,1250.3702718676122,12.0,1.0
52,2023-01-01,40.7404680491984,-73.97304415701906,40.74055987771011,-73.97298013327044,4.9122999838370776,1152.3654436722159,12.0,1.0
